SYMB,MM/DD/YY,NAV
IBSEP2010,4/1/2014,108.28
IBOCT2010,4/1/2014,108.16
IBNOV2010,4/1/2014,107.16
IBDEC2010,4/1/2014,107.08
IBJAN2009,4/1/2014,116.28
IBFEB2009,4/1/2014,116.08
IBMAR2009,4/1/2014,115.92
IBAPR2009,4/1/2014,115.72
IBMAY2009,4/1/2014,110.12
IBJUN2009,4/1/2014,110.0
IBJUL2009,4/1/2014,109.88
IBAUG2009,4/1/2014,109.80
IBSEP2009,4/1/2014,109.68
IBOCT2009,4/1/2014,109.56
IBNOV2009,4/1/2014,110.96
IBDEC2009,4/1/2014,110.8
IBJAN2008,4/1/2014,125.32
IBFEB2008,4/1/2014,125.04
IBMAR2008,4/1/2014,124.8
IBAPR2008,4/1/2014,124.56
IBMAY2008,4/1/2014,115.44
IBJUN2008,4/1/2014,115.32
IBJUL2008,4/1/2014,115.2
IBAUG2008,4/1/2014,115.12
IBSEP2008,4/1/2014,115.00
IBOCT2008,4/1/2014,114.88
IBNOV2008,4/1/2014,116.64
IBDEC2008,4/1/2014,116.44
IBJAN2007,4/1/2014,132.16
IBFEB2007,4/1/2014,131.88
IBMAR2007,4/1/2014,131.6
IBAPR2007,4/1/2014,131.32
IBMAY2007,4/1/2014,128.84
IBJUN2007,4/1/2014,128.56
IBJUL2007,4/1/2014,128.32
IBAUG2007,4/1/2014,128.04
IBSEP2007,4/1/2014,127.80
IBOCT2007,4/1/2014,127.52
IBNOV2007,4/1/2014,125.80
IBDEC2007,4/1/2014,125.56
IBJAN2006,4/1/2014,134.20
IBFEB2006,4/1/2014,133.96
IBMAR2006,4/1/2014,133.72
IBAPR2006,4/1/2014,133.48
IBMAY2006,4/1/2014,134.16
IBJUN2006,4/1/2014,133.88
IBJUL2006,4/1/2014,133.56
IBAUG2006,4/1/2014,133.28
IBSEP2006,4/1/2014,133.00
IBOCT2006,4/1/2014,132.72
IBNOV2006,4/1/2014,132.72
IBDEC2006,4/1/2014,132.44
IBJAN2005,4/1/2014,139.88
IBFEB2005,4/1/2014,139.64
IBMAR2005,4/1/2014,139.36
IBAPR2005,4/1/2014,139.12
IBMAY2005,4/1/2014,140.16
IBJUN2005,4/1/2014,139.88
IBJUL2005,4/1/2014,139.6
IBAUG2005,4/1/2014,139.32
IBSEP2005,4/1/2014,139.04
IBOCT2005,4/1/2014,138.76
IBNOV2005,4/1/2014,134.68
IBDEC2005,4/1/2014,134.44
IBJAN2004,4/1/2014,145.08
IBFEB2004,4/1/2014,144.8
IBMAR2004,4/1/2014,144.52
IBAPR2004,4/1/2014,144.24
IBMAY2004,4/1/2014,142.76
IBJUN2004,4/1/2014,142.52
IBJUL2004,4/1/2014,142.24
IBAUG2004,4/1/2014,142.0
IBSEP2004,4/1/2014,141.72
IBOCT2004,4/1/2014,141.48
IBNOV2004,4/1/2014,140.4
IBDEC2004,4/1/2014,140.12
IBJAN2003,4/1/2014,159.32
IBFEB2003,4/1/2014,158.96
IBMAR2003,4/1/2014,158.60
IBAPR2003,4/1/2014,158.24
IBMAY2003,4/1/2014,149.12
IBJUN2003,4/1/2014,148.84
IBJUL2003,4/1/2014,148.56
IBAUG2003,4/1/2014,148.28
IBSEP2003,4/1/2014,148
IBOCT2003,4/1/2014,147.72
IBNOV2003,4/1/2014,145.6
IBDEC2003,4/1/2014,145.32
IBJAN2002,4/1/2014,172.16
IBFEB2002,4/1/2014,171.72
IBMAR2002,4/1/2014,171.24
